,37F-OL15R1_FitzroyOil15R1,38F-OL30R1_FitzroyOil30R1,39F-OL45R1_FitzroyOil45R1,40F-OL15R2_FitzroyOil15R2,41F-OL30R2_FitzroyOil30R2,42F-OL45R2_FitzroyOil45R2,43F-OL15R3_FitzroyOil15R3,44F-OL30R3_FitzroyOil30R3,45F-OL45R3_FitzroyOil45R3,46F-Ct15R1_FitzroyControl15R1,47F-Ct30R1_FitzroyControl30R1,48F-Ct45R1_FitzroyControl45R1,49F-Ct15R2_FitzroyControl15R2,50F-Ct30R2_FitzroyControl30R2,51F-Ct45R2_FitzroyControl45R2,52F-Ct15R3_FitzroyControl15R3,53F-Ct30R3_FitzroyControl30R3,54F-Ct45R3_FitzroyControl45R3,55C-OL15R1_CambalinOil15R1,56C-OL30R1_CambalinOil30R1,57C-OL45R1_CambalinOil45R1,58C-OL15R2_CambalinOil15R2,59C-OL30R2_CambalinOil30R2,60C-OL45R2_CambalinOil45R2,61C-OL15R3_CambalinOil15R3,62C-OL30R3_CambalinOil30R3,63C-OL45R3_CambalinOil45R3,64C-Ct15R1_CambalinControl15R1,65C-Ct30R1_CambalinControl30R1,66C-Ct45R1_CambalinControl45R1,67C-Ct15R2_CambalinControl15R2,68C-Ct30R2_CambalinControl30R2,69C-Ct45R2_CambalinControl45R2,70C-Ct15R3_CambalinControl15R3,71C-Ct30R3_CambalinControl30R3,72C-Ct45R3_CambalinControl45R3,73K-OL15R1_KununurraOil15R1,74K-OL30R1_KununurraOil30R1,75K-OL45R1_KununurraOil45R1,76K-OL15R2_KununurraOil15R2,77K-OL30R2_KununurraOil30R2,78K-OL45R2_KununurraOil45R2,79K-OL15R3_KununurraOil15R3,80K-OL30R3_KununurraOil30R3,81K-OL45R3_KununurraOil45R3,82K-Ct15R1_KununurraControl15R1,83K-Ct30R1_KununurraControl30R1,84K-Ct45R1_KununurraControl45R1,85K-Ct15R2_KununurraControl15R2,86K-Ct30R2_KununurraControl30R2,87K-Ct45R2_KununurraControl45R2,88K-Ct15R3_KununurraControl15R3,89K-Ct30R3_KununurraControl30R3,90K-Ct45R3_KununurraControl45R3
d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54;g__RCP2-54;__,0,0,0,0,0,0.045847458,0,0.119165425,0.184613507,0,0,0,0,0,0,0,0,0,0,0,0.005866426,0,0,0,0,0.007438362,0.025885074,0,0,0,0,0,0,0,0,0,0.006205621,0,0,0,0.278725352,0.30529235,0.001742952,0.194114855,0.126568191,0.018476157,0,0,0.022713065,0,0,0,0,0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales;g__Rokubacteriales;s__uncultured_Candidatus,0.09799824,0.186297513,0.108232311,0,0,0.132118644,0,0.058718331,0.058873772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023401588,0,0,0,0,0,0,0,0,0,0,0,0,0.132499362,0,0.036941509,0,0.115413762,0.065699369,0.133599757,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__,0.010008799,0.003284843,0.002139292,0.010809452,0.097814005,0.015847458,0,0,0,0.093095156,0.248826291,0.31875,0.083081571,0.069555796,0.020710059,0.157446809,0.047803092,0,0.116289855,0.022082334,0.066787004,0.063009445,0.029265189,0.224683544,0.136175153,0.027747597,0.006404554,0.092325672,0.033099579,0,0.389742046,0.318552354,0.366828622,0,0.013483146,0,0.014201325,0.066863142,0.087771254,0,0,0.001463678,0.017277963,0.005763103,0,0.098539504,0.102316111,0.338772339,0.172327568,0.312947658,0.285000471,0.049781659,0.260768977,0.422047522
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_funiculus,0,0,0,0,0.0195134,0,0,0,0,0,0,0,0,0,0,0,0.010170871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057111312,0.03471539,0.02164311,0,0,0,0,0,0,0,0,0,0,0,0,0.134612001,0.106515653,0.352952603,0.062929777,0.158236915,0.135947959,0.103220524,0.057838493,0.126402261
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus;__,0,0,0,0,0.03025812,0,0,0,0,0,0.142723005,0,0.063821752,0.093391116,0.016158398,0.092340426,0.030309194,0,0.020405797,0.021982414,0,0,0.01028523,0,0.013600929,0.009611366,0,0,0,0,0,0.014054814,0.008465842,0,0,0,0,0,0,0,0,0,0,0,0,0.205349287,0.247009417,0.072163947,0.248176703,0.163966942,0.105119261,0.261954148,0.101244905,0.117392456
d__Bacteria;p__Dadabacteria;c__Dadabacteriia;o__Dadabacteriales;f__Dadabacteriales;g__Dadabacteriales;s__uncultured_bacterium,0,0,0,0,0.009509695,0,0,0.008882265,0,0,0,0,0,0,0,0,0,0,0,0.009292566,0.063718412,0,0,0.027398401,0.008127384,0,0.059864793,0,0,0,0,0,0,0,0,0,0.007279671,0,0.067909114,0,0,0,0.101318581,0.219336904,0.1851983,0,0,0.001748252,0,0,0.002074102,0,0,0
d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54;g__RCP2-54;s__uncultured_bacterium,0,0,0,0,0,0,0,0.003219076,0.034653163,0,0,0,0,0,0,0,0,0,0,0.003597122,0.009115523,0,0,0.005496336,0,0,0.005337129,0,0,0,0,0,0,0,0,0,0,0,0.188920092,0,0.04792412,0.053000539,0.031145802,0.189029765,0.160916633,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25;s__unidentified,0,0.086735492,0.069408129,0,0.099419538,0.235254237,0,0.078271237,0.0503325,0,0,0,0,0.008017335,0,0,0,0,0.055768116,0.085931255,0.279422383,0.00181136,0.054925247,0,0,0.027831174,0.02366127,0,0,0,0,0,0,0,0,0,0.079061997,0.038742555,0.013275466,0.322695803,0.029786172,0.010862029,0.098514701,0.012882229,0.006576285,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_lwoffii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006492754,0,0,0,0,0.216688874,0,0,0,0.031943903,0.057784011,0,0.08471344,0.184399157,0.057199647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales;g__Rokubacteriales;s__uncultured_bacterium,0,0.001329579,0,0,0,0,0,0.00023845,0.000854127,0,0,0,0,0,0.049385526,0,0.021155411,0.030310881,0,0.068645084,0.132220217,0,0,0,0,0.001253656,0.015922434,0,0,0.08769492,0,0,0,0,0,0.048551959,0.140163494,0.211149997,0,0,0.001081621,0,0.115792664,0.016407892,0.040165925,0,0.02977857,0,0,0.035592287,0.037616668,0.009825328,0.030516691,0
